code_insee,libelle_commune,code_dept,code_region,code_epci,nature_epci,code_arrondissement,code_canton_ville,code_zone_emploi
1001,L'Abergement-Clémenciat,1,84,200069193,CC,12,108,8405
1002,L'Abergement-de-Varey,1,84,240100883,CC,11,101,8405
1004,Ambérieu-en-Bugey,1,84,240100883,CC,11,101,8405
1005,Ambérieux-en-Dombes,1,84,200042497,CC,12,122,8434
1006,Ambléon,1,84,200040350,CC,11,104,8404
1007,Ambronay,1,84,240100883,CC,11,101,8405
1008,Ambutrix,1,84,240100883,CC,11,101,8405
1009,Andert-et-Condon,1,84,200040350,CC,11,104,8404
1010,Anglefort,1,84,200070852,CC,11,110,8416
1011,Apremont,1,84,200042935,CA,14,114,8425
1012,Aranc,1,84,200042935,CA,11,110,8404
1013,Arandas,1,84,240100883,CC,11,101,8405
1014,Arbent,1,84,200042935,CA,14,115,8425
1015,Arboys en Bugey,1,84,200040350,CC,11,104,8404
1016,Arbigny,1,84,200071371,CC,12,117,59
1017,Argis,1,84,240100883,CC,11,101,8405
1019,Armix,1,84,200040350,CC,11,110,8404
1021,Ars-sur-Formans,1,84,200042497,CC,12,122,8434
1022,Artemare,1,84,200040350,CC,11,110,8404
1023,Asnières-sur-Saône,1,84,200071371,CC,12,117,59
1024,Attignat,1,84,200071751,CA,12,102,8405
1025,Bâgé-Dommartin,1,84,200071371,CC,12,117,59
1026,Bâgé-le-Châtel,1,84,200071371,CC,12,117,59
1027,Balan,1,84,240100610,CC,12,112,8421
1028,Baneins,1,84,200069193,CC,12,122,8434
1029,Beaupont,1,84,200071751,CA,12,118,8405
1030,Beauregard,1,84,200042497,CC,12,121,8434
1031,Bellignat,1,84,200042935,CA,14,114,8425
1032,Béligneux,1,84,240100610,CC,12,112,8421
1033,Valserhône,1,84,240100891,CC,14,103,8416
1034,Belley,1,84,200040350,CC,11,104,8404
1035,Belleydoux,1,84,200042935,CA,14,114,8425
1036,Valromey-sur-Séran,1,84,200040350,CC,11,110,8404
1037,Bénonces,1,84,240100883,CC,11,111,8404
1038,Bény,1,84,200071751,CA,12,118,8405
1040,Béréziat,1,84,200071751,CA,12,102,8405
1041,Bettant,1,84,240100883,CC,11,101,8405
1042,Bey,1,84,200070555,CC,12,123,59
1043,Beynost,1,84,240100800,CC,12,113,8421
1044,Billiat,1,84,240100891,CC,14,103,8416
1045,Birieux,1,84,200069193,CC,12,122,8405
1046,Biziat,1,84,200070555,CC,12,123,59
1047,Blyes,1,84,240100883,CC,11,111,8405
1049,La Boisse,1,84,240100610,CC,12,113,8421
1050,Boissey,1,84,200071371,CC,12,117,59
1051,Bolozon,1,84,200042935,CA,14,116,8425
1052,Bouligneux,1,84,200069193,CC,12,122,8405
1053,Bourg-en-Bresse,1,84,200071751,CA,12,199,8405
1054,Bourg-Saint-Christophe,1,84,240100883,CC,11,112,8405
1056,Boyeux-Saint-Jérôme,1,84,200029999,CC,14,116,8405
1057,Boz,1,84,200071371,CC,12,117,59
1058,Brégnier-Cordon,1,84,200040350,CC,11,104,8404
1060,Brénod,1,84,200042935,CA,14,110,8404
1061,Brens,1,84,200040350,CC,11,104,8404
1062,Bressolles,1,84,240100610,CC,12,112,8421
1063,Brion,1,84,200042935,CA,14,114,8425
1064,Briord,1,84,240100883,CC,11,111,8405
1065,Buellas,1,84,200071751,CA,12,102,8405
1066,La Burbanche,1,84,200040350,CC,11,104,8404
1067,Ceignes,1,84,200042935,CA,14,116,8425
1068,Cerdon,1,84,200029999,CC,14,116,8405
1069,Certines,1,84,200071751,CA,12,107,8405
1071,Cessy,1,84,240100750,CA,13,109,8416
1072,Ceyzériat,1,84,200071751,CA,12,107,8405
1073,Ceyzérieu,1,84,200040350,CC,11,104,8404
1074,Chalamont,1,84,200069193,CC,12,107,8405
1075,Chaleins,1,84,200070118,CC,12,122,8434
1076,Chaley,1,84,240100883,CC,11,110,8404
1077,Challes-la-Montagne,1,84,200029999,CC,14,116,8405
1078,Challex,1,84,240100750,CA,13,120,8416
1079,Champagne-en-Valromey,1,84,200040350,CC,11,110,8404
1080,Champdor-Corcelles,1,84,200042935,CA,11,110,8404
1081,Champfromier,1,84,240100891,CC,14,103,8416
1082,Chanay,1,84,240100891,CC,14,103,8416
1083,Chaneins,1,84,200069193,CC,12,122,8434
1084,Chanoz-Châtenay,1,84,200070555,CC,12,123,8405
1085,La Chapelle-du-Châtelard,1,84,200069193,CC,12,108,8405
1087,Charix,1,84,200042935,CA,14,114,8425
1088,Charnoz-sur-Ain,1,84,240100883,CC,11,111,8405
1089,Château-Gaillard,1,84,240100883,CC,11,101,8405
1090,Châtenay,1,84,200069193,CC,12,107,8405
1092,Châtillon-la-Palud,1,84,200069193,CC,12,107,8405
1093,Châtillon-sur-Chalaronne,1,84,200069193,CC,12,108,8405
1094,Chavannes-sur-Reyssouze,1,84,200071371,CC,12,117,59
1095,Nivigne et Suran,1,84,200071751,CA,12,118,8405
1096,Chaveyriat,1,84,200070555,CC,12,123,8405
