EPCI,LIBEPCI,NATURE_EPCI,NB_COM
200000172,CC Faucigny-Glières,CC,7
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,CC,9
200000545,CC des Portes de Romilly-sur-Seine,CC,6
200000628,CC Rhône Lez Provence,CC,5
200000800,CC Cœur de Sologne,CC,6
200000925,CC de la Plaine Dijonnaise,CC,22
200000933,CC Sauldre et Sologne,CC,14
200004802,CC du Pays de Fayence,CC,9
200005932,CC des Portes de Sologne,CC,7
200005957,CC de la Région de Rambervillers,CC,30
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",CA,53
200006716,CC du Nogentais,CC,23
200006930,CC du Haut Allier,CC,10
200006971,CC du Perche,CC,20
200007052,CC de la Marche Berrichonne,CC,9
200007177,CC Pays de Nérondes,CC,12
200010650,CA du Grand Dole,CA,47
200010700,CA Caux Seine Agglo,CA,50
200011773,CA Annemasse-Les Voirons-Agglomération,CA,12
200011781,CC Portes du Berry entre Loire et Val d'Aubois,CC,12
200013050,CC Sauer-Pechelbronn,CC,24
200015162,CC de l'Oriente,CC,22
200016905,CC du Pays de Lamastre,CC,11
200017341,CC Lodévois et Larzac,CC,28
200017846,CA Étampois Sud Essonne,CA,37
200018083,CC de Desvres-Samer,CC,31
200018166,CC Le Grésivaudan,CC,43
200018406,CC du Romorantinais et du Monestois,CC,16
200018521,CC du Val de Bouzanne,CC,12
200018653,CA Cap Excellence,CA,3
200022986,CC du Grand Pic Saint-Loup,CC,36
200023075,CC du Pays de Maîche,CC,43
200023125,CC Les Portes Briardes entre Villes et Forêts,CC,5
200023240,CC Pays de Nemours,CC,21
200023299,CC Cœur de Tarentaise,CC,6
200023307,CA du Grand Villeneuvois,CA,19
200023372,CC de la Vallée de Chamonix-Mont-Blanc,CC,4
200023414,Métropole Rouen Normandie,ME,71
200023620,CC de la Gascogne Toulousaine,CC,14
200023737,CA du Grand Cahors,CA,36
200023778,CA du Pays de Saint-Gilles-Croix-de-Vie,CA,14
200023794,CC de Blaye,CC,20
200023919,CC Gâtinais Val de Loing,CC,20
200026573,CC Haut-Jura Saint-Claude,CC,22
200027027,CC Arc Sud Bretagne,CC,12
200027076,CC Arnon Boischaut Cher,CC,18
200027100,CC Méditerranée Porte des Maures,CC,6
200027183,CU Perpignan Méditerranée Métropole,CU,36
200027217,CC Sarlat-Périgord Noir,CC,13
200027308,CC d'Auberive Vingeanne et Montsaugeonnais,CC,51
200027548,CC des Savanes,CC,4
200029734,CC des 4B Sud Charente,CC,40
200029999,CC Rives de l'Ain - Pays du Cerdon,CC,14
200030195,Métropole Nice Côte d'Azur,ME,51
200030385,"CA de Blois ""Agglopolys""",CA,43
200030435,CC d'Aire-sur-l'Adour,CC,22
200030526,CC du Ried de Marckolsheim,CC,18
200030633,CA du Caudrésis et du Catésis,CA,46
200030658,CC du Trièves,CC,27
200030674,CA Val de Garonne Agglomération,CA,43
200032514,CC Berry-Loire-Vauvise,CC,14
200033025,CA de Bar-le-Duc - Sud Meuse,CA,33
200033090,CC Plaines et Monts de France,CC,20
200033116,CC Cluses-Arve et Montagnes,CC,10
200033173,CC de la Haute Vallée de Chevreuse,CC,10
200033181,CA Chartres Métropole,CA,66
200033298,CC des Coëvrons,CC,29
200033579,CU d'Arras,CU,46
200033827,CC de Fium'Orbu Castellu,CC,13
200033868,CC des Ballons des Hautes-Vosges,CC,8
200034023,CC Tarn-Agout,CC,21
200034031,CC des Monts d'Alban et du Villefranchois,CC,14
200034049,CC Centre Tarn,CC,11
200034056,CC du Lautrécois et du Pays d'Agout,CC,28
200034064,CC du Cordais et du Causse (4 C),CC,25
200034098,CC des Montagnes du Giffre,CC,8
200034130,CC Gally Mauldre,CC,11
200034197,CC de Montaigne Montravel et Gurson,CC,18
200034205,CC de la Costa Verde,CC,23
200034270,CC du Pays de Barr,CC,20
200034379,CC Pays d'Uzès,CC,34
200034411,CC du Piémont Cévenol,CC,34
200034601,CC Causses Aigoual Cévennes,CC,15
200034635,CC du Kochersberg,CC,23
200034692,CA du Gard Rhodanien,CA,44
200034700,CA Durance-Lubéron-Verdon Agglomération,CA,25
200034718,"CC de Vitry, Champagne et Der",CC,35
200034726,CC Bastides de Lomagne,CC,41
200034825,CA du Grand Guéret,CA,25
200034833,CC des Bastides Dordogne-Périgord,CC,47
200034874,CC Côtes de Meuse Woëvre,CC,25
200034882,CC Pays du Mont-Blanc,CC,10
200034957,CC du Frontonnais,CC,10
200035087,CA Terre de Provence,CA,13
200035103,CC de la Vallée de la Haute Sarthe,CC,31
200035111,CC des Sources de l'Orne,CC,23
200035129,CC de Cèze Cévennes,CC,23
200035137,CC Marche Occitane - Val d'Anglin,CC,17
200035202,CC Charlieu-Belmont,CC,25
200035319,CA Estérel Côte d'Azur Agglomération,CA,5
200035327,CC Cazals-Salviac,CC,15
200035442,CC du Sud-Artois,CC,64
200035533,CC du Grand Saint-Émilionnais,CC,22
200035541,CC des Landes d'Armagnac,CC,27
200035632,CC Armagnac Adour,CC,24
200035707,CC Piège Lauragais Malepère,CC,38
200035715,CA Carcassonne Agglo,CA,83
200035723,CC Ventoux Sud,CC,11
