etablissement_public_territorial,commune,departement,code_comm
Grand-Orly Seine Bièvre,Ablon-sur-Seine,94,94001
Grand Paris Sud Est Avenir,Alfortville,94,94002
Vallée Sud-Grand Paris,Antony,92,92002
Grand-Orly Seine Bièvre,Arcueil,94,94003
Boucle Nord de Seine,Argenteuil,95,95018
Boucle Nord de Seine,Asnières-sur-Seine,92,92004
Grand-Orly Seine Bièvre,Athis-Mons,91,91027
Plaine Commune,Aubervilliers,93,93001
Paris Terres d'Envol,Aulnay-sous-Bois,93,93005
Vallée Sud-Grand Paris,Bagneux,92,92007
Est Ensemble,Bagnolet,93,93006
Est Ensemble,Bobigny,93,93008
Boucle Nord de Seine,Bois-Colombes,92,92009
Grand Paris Sud Est Avenir,Boissy-Saint-Léger,94,94004
Est Ensemble,Bondy,93,93010
Grand Paris Sud Est Avenir,Bonneuil-sur-Marne,94,94011
Grand Paris Seine Ouest,Boulogne-Billancourt,92,92012
Vallée Sud-Grand Paris,Bourg-la-Reine,92,92014
Paris Est Marne & Bois,Bry-sur-Marne,94,94015
Grand-Orly Seine Bièvre,Cachan,94,94016
Paris Est Marne & Bois,Champigny-sur-Marne,94,94017
Paris Est Marne & Bois,Charenton-le-Pont,94,94018
Vallée Sud-Grand Paris,Châtenay-Malabry,92,92019
Vallée Sud-Grand Paris,Châtillon,92,92020
Grand Paris Seine Ouest,Chaville,92,92022
Grand Paris Sud Est Avenir,Chennevières-sur-Marne,94,94019
Grand-Orly Seine Bièvre,Chevilly-Larue,94,94021
Grand-Orly Seine Bièvre,Choisy-le-Roi,94,94022
Vallée Sud-Grand Paris,Clamart,92,92023
Boucle Nord de Seine,Clichy,92,92024
Grand Paris Grand Est,Clichy-sous-Bois,93,93014
Boucle Nord de Seine,Colombes,92,92025
Grand Paris Grand Est,Coubron,93,93015
Paris Ouest La Défense,Courbevoie,92,92026
Grand Paris Sud Est Avenir,Créteil,94,94028
Paris Terres d'Envol,Drancy,93,93029
Paris Terres d'Envol,Dugny,93,93030
Plaine Commune,Épinay-sur-Seine,93,93031
Vallée Sud-Grand Paris,Fontenay-aux-Roses,92,92032
Paris Est Marne & Bois,Fontenay-sous-Bois,94,94033
Grand-Orly Seine Bièvre,Fresnes,94,94034
Grand Paris Grand Est,Gagny,93,93032
Paris Ouest La Défense,Garches,92,92033
Boucle Nord de Seine,Gennevilliers,92,92036
Grand-Orly Seine Bièvre,Gentilly,94,94037
Grand Paris Grand Est,Gournay-sur-Marne,93,93033
Grand Paris Seine Ouest,Issy-les-Moulineaux,92,92040
Grand-Orly Seine Bièvre,Ivry-sur-Seine,94,94041
Paris Est Marne & Bois,Joinville-le-Pont,94,94042
Grand-Orly Seine Bièvre,Juvisy-sur-Orge,91,91326
Plaine Commune,La Courneuve,93,93027
Paris Ouest La Défense,La Garenne-Colombes,92,92035
Grand Paris Sud Est Avenir,La Queue-en-Brie,94,94060
Paris Terres d'Envol,Le Blanc-Mesnil,93,93007
Paris Terres d'Envol,Le Bourget,93,93013
Grand-Orly Seine Bièvre,Le Kremlin-Bicêtre,94,94043
Paris Est Marne & Bois,Le Perreux-sur-Marne,94,94058
Vallée Sud-Grand Paris,Le Plessis-Robinson,92,92060
