grand_domaine,domaine_professionnel,code_rome,description_code_rome,date_mise_à_jour_metabase
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A11- Engins agricoles et forestiers,A1101,Conducteur / Conductrice d'engins agricoles,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A11- Engins agricoles et forestiers,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A12- Espaces naturels et espaces verts,A1201,Élagueur / Élagueuse,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A12- Espaces naturels et espaces verts,A1202,Agent / Agente d'entretien des espaces naturels,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A12- Espaces naturels et espaces verts,A1203,Jardinier / Jardinière,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A12- Espaces naturels et espaces verts,A1204,Garde forestier / forestière,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A12- Espaces naturels et espaces verts,A1205,Forestier / Forestière,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A13- Etudes et assistance technique,A1301,Technicien / Technicienne de culture maraîchère,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A13- Etudes et assistance technique,A1302,Technicien / Technicienne agricole,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A13- Etudes et assistance technique,A1303,Ingénieur / Ingénieure agronome,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A13- Etudes et assistance technique,A1304,Conseiller / Conseillère technique agricole,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1401,Vendangeur / Vendangeuse,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1402,Aide horticole,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1403,Aide d'élevage agricole,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1404,Aquaculteur / Aquacultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1405,Arboriculteur / Arboricultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1406,Capitaine de pêche,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1407,Éleveur / Éleveuse de bovins,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1408,Éleveur / Éleveuse d'animaux,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1409,Aviculteur / Avicultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1410,Éleveur / Éleveuse d'ovins,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1411,Éleveur / Éleveuse de porcins,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1412,Fromager / Fromagère,2024-10-08
