epci,libepci,nature_epci,nb_com
200000172,Communauté de communes Faucigny-Glières,CC,7
200000438,Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois,CC,9
200000545,Communauté de communes des Portes de Romilly-sur-Seine,CC,6
200000628,Communauté de communes Rhône Lez Provence,CC,5
200000800,Communauté de communes Cœur de Sologne,CC,6
200000925,Communauté de communes de la Plaine Dijonnaise,CC,22
200000933,Communauté de communes Sauldre et Sologne,CC,14
200004802,Communauté de communes du Pays de Fayence,CC,9
200005932,Communauté de communes des Portes de Sologne,CC,7
200005957,Communauté de communes de la Région de Rambervillers,CC,30
200006682,"Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",CA,53
200006716,Communauté de communes du Nogentais,CC,23
200006930,Communauté de communes du Haut Allier Margeride,CC,10
200006971,Communauté de communes du Perche,CC,20
200007052,Communauté de communes de la Marche Berrichonne,CC,9
200007177,Communauté de communes Pays de Nérondes,CC,12
200010650,Communauté d'agglomération du Grand Dole,CA,47
200010700,Communauté d'agglomération Caux Seine Agglo,CA,50
200011773,Communauté d'agglomération Annemasse-Les Voirons-Agglomération,CA,12
200011781,Communauté de communes Portes du Berry entre Loire et Val d'Aubois,CC,12
200013050,Communauté de communes Sauer-Pechelbronn,CC,24
200015162,Communauté de communes de l'Oriente,CC,22
200016905,Communauté de communes du Pays de Lamastre,CC,11
200017341,Communauté de communes Lodévois et Larzac,CC,28
200017846,Communauté d'agglomération Étampois Sud Essonne,CA,37
200018083,Communauté de communes de Desvres-Samer,CC,31
200018166,Communauté de communes Le Grésivaudan,CC,43
200018406,Communauté de communes du Romorantinais et du Monestois,CC,16
200018521,Communauté de communes du Val de Bouzanne,CC,12
200018653,Communauté d'agglomération Cap Excellence,CA,3
200022986,Communauté de communes du Grand Pic Saint-Loup,CC,36
200023075,Communauté de communes du Pays de Maîche,CC,42
200023125,Communauté de communes Les Portes Briardes entre Villes et Forêts,CC,5
200023240,Communauté de communes Pays de Nemours,CC,21
200023299,Communauté de communes Cœur de Tarentaise,CC,6
200023307,Communauté d'agglomération du Grand Villeneuvois,CA,19
200023372,Communauté de communes de la Vallée de Chamonix-Mont-Blanc,CC,4
200023414,Métropole Rouen Normandie,METRO,71
200023620,Communauté de communes de la Gascogne Toulousaine,CC,13
200023737,Communauté d'agglomération du Grand Cahors,CA,36
200023778,Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie,CA,14
