NAF 2025 divisions,Intitulés
01,"Culture et production animale, chasse et services annexes"
02,Sylviculture et exploitation forestière
03,Pêche et aquaculture
05,Extraction de houille et de lignite
06,Extraction d’hydrocarbures
07,Extraction de minerais métalliques
08,Autres industries extractives
09,Activités de soutien aux industries extractives
10,Industries alimentaires
11,Fabrication de boissons
12,Fabrication de produits à base de tabac
13,Fabrication de textiles
14,Industrie de l’habillement
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières"
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
17,Industrie du papier et du carton
18,Imprimerie et reproduction d’enregistrements
19,Cokéfaction et raffinage
20,Industrie chimique
21,Industrie pharmaceutique
22,Fabrication de produits en caoutchouc et en plastique
23,Fabrication d’autres produits minéraux non métalliques
24,Métallurgie
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements"
26,"Fabrication de produits informatiques, électroniques et optiques"
27,Fabrication d’équipements électriques
28,Fabrication de machines et équipements n.c.a.
29,Industrie automobile
30,Fabrication d’autres matériels de transport
31,Fabrication de meubles
32,Autres industries manufacturières
33,"Réparation, entretien et installation de machines et d’équipements"
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné"
36,"Captage, traitement et distribution d’eau"
37,Collecte et traitement des eaux usées
38,"Collecte, valorisation et élimination des déchets"
39,Activités de dépollution et autres activités de service de gestion des déchets
41,Construction de bâtiments résidentiels et non résidentiels
42,Génie civil
43,Travaux de construction spécialisés
46,Commerce de gros
47,Commerce de détail
49,Transports terrestres et transports par conduites
50,Transport par eau
51,Transports aériens
52,Entreposage et services auxiliaires des transports
53,Activités de poste et de courrier
55,Hébergement
56,Activités de service de restauration
58,Activités d’édition
59,"Production de films cinématographiques, de vidéos et de programmes de télévision ; enregistrement sonore et édition musicale"
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu"
61,Télécommunications
62,"Programmation, conseil et autres activités informatiques"
63,"Infrastructure informatique, traitement de données et autres activités de service d’information"
64,"Activités de services financiers, hors assurance et fonds de pension"
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire"
66,Activités auxiliaires d’activités de services financiers et d’assurance
68,Activités immobilières
69,Activités juridiques et comptables
70,Activités des sièges sociaux et conseil de gestion
71,Activités d’architecture et d’ingénierie ; activités de contrôle et analyses techniques
72,Recherche et développement scientifique
73,"Activités de publicité, d’études de marché et de relations publiques"
74,"Autres activités spécialisées, scientifiques et techniques"
75,Activités vétérinaires
77,Activités de location et location-bail
78,Activités liées à l’emploi
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes"
80,Activités d’investigation et de sécurité
81,Activités de services pour les bâtiments et l’aménagement paysager
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises"
84,Administration publique et défense ; sécurité sociale obligatoire
85,Enseignement
86,Activités pour la santé humaine
87,Activités de soins en établissement résidentiel
88,Activités d’action sociale sans hébergement
90,Activités de création artistique et de spectacle
91,"Bibliothèques, archives, musées et autres activités culturelles"
92,Activités de jeux d’argent et de paris
93,Activités sportives et activités récréatives et de loisirs
94,Activités des organisations associatives
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles"
96,Activités de services aux personnes
97,Activités des ménages en tant qu’employeurs de personnel domestique
98,Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
99,Activités des organisations et organismes extraterritoriaux
