codgeo,libgeo,ze2020,libze2020,ze_partie_reg,dep,reg
1001,L'Abergement-Clémenciat,8405,Bourg-en-Bresse,,1,84
1002,L'Abergement-de-Varey,8405,Bourg-en-Bresse,,1,84
1004,Ambérieu-en-Bugey,8405,Bourg-en-Bresse,,1,84
1005,Ambérieux-en-Dombes,8434,Villefranche-sur-Saône,,1,84
1006,Ambléon,8404,Belley,,1,84
1007,Ambronay,8405,Bourg-en-Bresse,,1,84
1008,Ambutrix,8405,Bourg-en-Bresse,,1,84
1009,Andert-et-Condon,8404,Belley,,1,84
1010,Anglefort,8416,Le Genevois Français,,1,84
1011,Apremont,8425,Oyonnax,,1,84
1012,Aranc,8404,Belley,,1,84
1013,Arandas,8405,Bourg-en-Bresse,,1,84
1014,Arbent,8425,Oyonnax,,1,84
1015,Arboys en Bugey,8404,Belley,,1,84
1016,Arbigny,59,Mâcon,0059-84,1,84
1017,Argis,8405,Bourg-en-Bresse,,1,84
1019,Armix,8404,Belley,,1,84
1021,Ars-sur-Formans,8434,Villefranche-sur-Saône,,1,84
1022,Artemare,8404,Belley,,1,84
1023,Asnières-sur-Saône,59,Mâcon,0059-84,1,84
1024,Attignat,8405,Bourg-en-Bresse,,1,84
1025,Bâgé-Dommartin,59,Mâcon,0059-84,1,84
1026,Bâgé-le-Châtel,59,Mâcon,0059-84,1,84
1027,Balan,8421,Lyon,,1,84
1028,Baneins,8434,Villefranche-sur-Saône,,1,84
1029,Beaupont,8405,Bourg-en-Bresse,,1,84
1030,Beauregard,8434,Villefranche-sur-Saône,,1,84
1031,Bellignat,8425,Oyonnax,,1,84
1032,Béligneux,8421,Lyon,,1,84
1033,Valserhône,8416,Le Genevois Français,,1,84
1034,Belley,8404,Belley,,1,84
1035,Belleydoux,8425,Oyonnax,,1,84
1036,Valromey-sur-Séran,8404,Belley,,1,84
1037,Bénonces,8404,Belley,,1,84
1038,Bény,8405,Bourg-en-Bresse,,1,84
1040,Béréziat,8405,Bourg-en-Bresse,,1,84
1041,Bettant,8405,Bourg-en-Bresse,,1,84
1042,Bey,59,Mâcon,0059-84,1,84
1043,Beynost,8421,Lyon,,1,84
1044,Billiat,8416,Le Genevois Français,,1,84
1045,Birieux,8405,Bourg-en-Bresse,,1,84
1046,Biziat,59,Mâcon,0059-84,1,84
1047,Blyes,8405,Bourg-en-Bresse,,1,84
1049,La Boisse,8421,Lyon,,1,84
1050,Boissey,59,Mâcon,0059-84,1,84
1051,Bolozon,8425,Oyonnax,,1,84
1052,Bouligneux,8405,Bourg-en-Bresse,,1,84
1053,Bourg-en-Bresse,8405,Bourg-en-Bresse,,1,84
1054,Bourg-Saint-Christophe,8405,Bourg-en-Bresse,,1,84
1056,Boyeux-Saint-Jérôme,8405,Bourg-en-Bresse,,1,84
1057,Boz,59,Mâcon,0059-84,1,84
1058,Brégnier-Cordon,8404,Belley,,1,84
1060,Brénod,8404,Belley,,1,84
1061,Brens,8404,Belley,,1,84
1062,Bressolles,8421,Lyon,,1,84
1063,Brion,8425,Oyonnax,,1,84
1064,Briord,8405,Bourg-en-Bresse,,1,84
1065,Buellas,8405,Bourg-en-Bresse,,1,84
1066,La Burbanche,8404,Belley,,1,84
1067,Ceignes,8425,Oyonnax,,1,84
1068,Cerdon,8405,Bourg-en-Bresse,,1,84
1069,Certines,8405,Bourg-en-Bresse,,1,84
1071,Cessy,8416,Le Genevois Français,,1,84
1072,Ceyzériat,8405,Bourg-en-Bresse,,1,84
1073,Ceyzérieu,8404,Belley,,1,84
1074,Chalamont,8405,Bourg-en-Bresse,,1,84
1075,Chaleins,8434,Villefranche-sur-Saône,,1,84
1076,Chaley,8404,Belley,,1,84
1077,Challes-la-Montagne,8405,Bourg-en-Bresse,,1,84
1078,Challex,8416,Le Genevois Français,,1,84
1079,Champagne-en-Valromey,8404,Belley,,1,84
1080,Champdor-Corcelles,8404,Belley,,1,84
1081,Champfromier,8416,Le Genevois Français,,1,84
1082,Chanay,8416,Le Genevois Français,,1,84
1083,Chaneins,8434,Villefranche-sur-Saône,,1,84
1084,Chanoz-Châtenay,8405,Bourg-en-Bresse,,1,84
1085,La Chapelle-du-Châtelard,8405,Bourg-en-Bresse,,1,84
1087,Charix,8425,Oyonnax,,1,84
1088,Charnoz-sur-Ain,8405,Bourg-en-Bresse,,1,84
1089,Château-Gaillard,8405,Bourg-en-Bresse,,1,84
1090,Châtenay,8405,Bourg-en-Bresse,,1,84
1092,Châtillon-la-Palud,8405,Bourg-en-Bresse,,1,84
1093,Châtillon-sur-Chalaronne,8405,Bourg-en-Bresse,,1,84
1094,Chavannes-sur-Reyssouze,59,Mâcon,0059-84,1,84
1095,Nivigne et Suran,8405,Bourg-en-Bresse,,1,84
1096,Chaveyriat,8405,Bourg-en-Bresse,,1,84
1098,Chazey-Bons,8404,Belley,,1,84
1099,Chazey-sur-Ain,8405,Bourg-en-Bresse,,1,84
1100,Cheignieu-la-Balme,8404,Belley,,1,84
1101,Chevillard,8425,Oyonnax,,1,84
1102,Chevroux,59,Mâcon,0059-84,1,84
1103,Chevry,8416,Le Genevois Français,,1,84
1104,Chézery-Forens,8416,Le Genevois Français,,1,84
1105,Civrieux,8434,Villefranche-sur-Saône,,1,84
1106,Cize,8405,Bourg-en-Bresse,,1,84
1107,Cleyzieu,8405,Bourg-en-Bresse,,1,84
1108,Coligny,8405,Bourg-en-Bresse,,1,84
1109,Collonges,8416,Le Genevois Français,,1,84
1110,Colomieu,8404,Belley,,1,84
1111,Conand,8405,Bourg-en-Bresse,,1,84
1112,Condamine,8425,Oyonnax,,1,84
1113,Condeissiat,8405,Bourg-en-Bresse,,1,84
1114,Confort,8416,Le Genevois Français,,1,84
1115,Confrançon,8405,Bourg-en-Bresse,,1,84
1116,Contrevoz,8404,Belley,,1,84
