region_asp,region_pilotage
AUVERGNE-RHONE-ALPES,Auvergne-Rhône-Alpes
BOURGOGNE-FRANCHE-COMTE,Bourgogne-Franche-Comté
BRETAGNE,Bretagne
CENTRE-VAL DE LOIRE,Centre-Val de Loire
CORSE,Corse
GRAND EST,Grand Est
GUADELOUPE,Guadeloupe
GUYANE,Guyane
HAUTS-DE-FRANCE,Hauts-de-France
ILE-DE-FRANCE,Île-de-France
LA REUNION,La Réunion
MARTINIQUE,Martinique
MAYOTTE,Mayotte
NORMANDIE,Normandie
NOUVELLE-AQUITAINE,Nouvelle-Aquitaine
OCCITANIE,Occitanie
PAYS DE LA LOIRE,Pays de la Loire
PROVENCE-ALPES-COTE D'AZUR,Provence-Alpes-Côte d'Azur
SAINT-PIERRE-ET-MIQUELON,Saint-Pierre-et-Miquelon
